,TE,p_value,FDR
442,LTR47A,0.010527987951929399,0.08585755691832078
751,MER96B,0.010447255013465294,0.08585755691832078
168,Kanga1d,0.010724681226020997,0.0867140892291954
407,LTR3,0.011054243137133699,0.08862130515024134
15,AluSq4,0.011437326546217772,0.09092194044304211
192,L1M6B,0.0117771742204639,0.09284339010465709
773,MLT1C,0.012014923951319794,0.09316490211433218
448,LTR49-int,0.0120102291245404,0.09316490211433218
381,LTR22B2,0.012876009177198767,0.09823148936798413
447,LTR49,0.012862936220302294,0.09823148936798413
24,AluYa8,0.013286281734460077,0.10055058016639386
734,MER84-int,0.014563698879833135,0.10934332651049321
720,MER75,0.01469130401253928,0.10943286295954456
476,LTR6B,0.014946977390532966,0.1104675047769077
239,L1ME3D,0.015151564402961332,0.11111147228838311
30,AluYe6,0.01595198815356483,0.11608139071747946
38,AluYi6_4d,0.016105976835389897,0.1163072831013652
382,LTR22C,0.016655245108840575,0.11936258994669079
338,LTR13,0.01725246321897127,0.12271300906125429
371,LTR1F,0.01748319717943148,0.12342615322195656
404,LTR28C,0.017786580166984218,0.12463781361457088
37,AluYi6,0.01806901867152521,0.12568596811222685
420,LTR38,0.018522081688857425,0.12762498926353047
615,MER4-int,0.018902209891258806,0.12762498926353047
652,MER51C,0.01915723940319379,0.12762498926353047
44,AluYk4,0.019062258426090672,0.12762498926353047
368,LTR1C3,0.018992431345907664,0.12762498926353047
660,MER54A,0.018938286129487593,0.12762498926353047
360,LTR19B,0.019628926266792194,0.1284382196141726
452,LTR51,0.019839854028776527,0.1284382196141726
670,MER57E1,0.02004533174325569,0.1284382196141726
67,Charlie17b,0.01960876230801449,0.1284382196141726
430,LTR41,0.020093928649997404,0.1284382196141726
820,MLT1O,0.01978695373854806,0.1284382196141726
646,MER50,0.020286555828992435,0.12869151366524637
603,MER31B,0.020405631130853016,0.12869151366524637
607,MER34A,0.020631039890539108,0.12925141547317878
405,LTR29,0.021063103817855238,0.1293876377382536
118,FRAM,0.02099578555478487,0.1293876377382536
132,HERV15-int,0.02099014446480834,0.1293876377382536
179,L1M3b,0.021387345283048753,0.1296950553702828
621,MER41E,0.021360963880536737,0.1296950553702828
216,L1MC2,0.021763610253688143,0.13018310316412413
55,Charlie10,0.021880669559297815,0.13018310316412413
