"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"19127FL-02-02_S55_L006",0.0127813426755805,0.0812023805762268,0.145102055260088,0.0373980389934424,0.0459367421348567,0.0046572514566832,1.15167743517873e-09,0.672922187751445
"19127FL-02-67_S103_L008",0.00204215849478101,0.179857573308693,0.104836492279976,0.0186960238753824,0.0679489578615288,0.00300132695067025,3.71729534618774e-09,0.623617463511673
"19127FL-02-78_S44_L004",0.00554473030279128,0.0272146186829962,0.0861474840952781,0.0432397295904868,0.0413233759804405,0.00504074736095888,2.68093225547408e-10,0.791489313718955
"19127FL-02-56_S24_L002",0.00340284625081475,0.053412498404737,0.155420101028949,0.0133306306138859,0.0353695312834505,0.0230813525210273,1.36212349153657e-09,0.715983038535012
"19127FL-02-57_S78_L007",0.0376262332099509,0.0406856042060077,0.160453733856962,0.0940063726395452,0.0258765517706218,0.0266157172366918,6.77335795597258e-10,0.614735786402884
"19127FL-02-82_S55_L005",0.00336710062985893,0.11470199500208,0.0893149696126644,0.0240784423620882,0.0276923248464488,0.0075321352861291,1.45908666077431e-09,0.733313030801644
"19127FL-02-71_S66_L006",0.00686779245764028,0.0965919554855741,0.128030777196219,0.0431169178176721,0.0437544164358905,0.0211604987448828,4.0798720397313e-09,0.660477637782249
"19127FL-02-54_S69_L006",0.00847207627495481,0.056767319518681,0.13585318685555,0.0437567539535454,0.0794158122095038,0.00675473219340342,1.81401262264544e-09,0.668980117180349
"19127FL-02-52_S22_L002",0.0108645039369836,0.0236441233623802,0.149781977805318,0.0498628614775454,0.0219542753454567,0.00913052081165317,5.8603641333788e-10,0.734761736674627
"19127FL-02-55_S88_L008",0.00132917623891295,0.283807580557768,0.160357056793839,1.11603864828315e-05,0.0234871565815993,0.00456732105007513,2.85000050365617e-09,0.526440545541322
"19127FL-02-01_S70_L007",0.0102349346357347,0.122061418035338,0.155209994196294,0.0184395468710145,0.0369171903113859,0.0138620034190854,9.89245225003850e-11,0.643274912432223
"19127FL-02-46_S21_L002",0.00860804377776313,0.0307893962618079,0.132916334908661,0.0397050622362578,0.0529862833068278,0.00403886331507284,4.7981484272384e-10,0.730956015713794
"19127FL-02-13_S73_L007",0.00928224598170082,0.124318229314131,0.0976368774549296,0.0293593382776368,0.0351854858705249,0.00576027651727903,9.03877502697510e-10,0.69845754567992
"19127FL-02-86_S80_L007",0.00928813355644823,0.0753642670098455,0.127477428228245,0.0306381498718347,0.0310237683711683,0.00570576030171282,2.4220096114469e-08,0.720502468440649
"19127FL-02-73_S104_L008",0.00557734967701427,0.0133741709643422,0.112318555444457,0.0293887825269067,0.0369549199384787,0.00289191870006478,2.63089119194384e-10,0.799494302485648
"19127FL-02-38_S75_L007",0.0234079302565972,0.0515160381403282,0.106797133787768,0.0471735719379912,0.0441061186357689,0.0124495390181737,3.72418391375873e-09,0.714549664499189
"19127FL-02-44_S77_L007",0.0144049640313164,0.149220646970395,0.144515439316617,0.0514746872238703,0.0571096666322404,0.00606464126256414,1.84506327530623e-09,0.577209952717934
"19127FL-02-66_S102_L008",0.00194575689132739,0.0458677258666515,0.110042247486712,0.0279111378916126,0.0321015376723697,0.0021783564960692,2.52411281907086e-08,0.77995321245413
"19127FL-02-10_S57_L006",0.020168190505698,0.0203019365508317,0.13683083172242,0.0518173850172919,0.0424249581731738,0.00780938119481328,2.45360003292467e-10,0.720647316590411
"19127FL-02-08_S71_L007",0.0103184464449952,0.0558222255416336,0.0850502949854858,0.026250069958261,0.0557616923909443,0.00501806386666045,3.02869569573992e-11,0.761779206781733
"19127FL-02-49_S87_L008",0.00635354764390638,0.0388453739207886,0.0864472662770357,0.0355737595889988,0.0287372457481215,0.00448112732231375,1.30255101348034e-09,0.799561678196284
"19127FL-02-37_S66_L006",0.0123693464268071,0.153619705087322,0.105567670210384,0.0587869714229399,0.0377667138621257,0.00933910471312409,5.6497506284131e-09,0.622550482627546
"19127FL-02-24_S84_L008",4.94367607187587e-08,0.0566278990178933,0.203520935841358,4.41229332245688e-09,0.0236243837550272,0.0136638465499234,1.50260532497576e-05,0.702547854933494
"19127FL-02-48_S86_L008",0.00904020851826036,0.0621044685630047,0.160220787966799,0.0460758141574034,0.0610940567635243,0.00856087843534764,6.90411850942299e-10,0.652903784905248
"19127FL-02-22_S641_L008",0.00550665804143909,0.15583166316627,0.120034777941421,0.0347010354279191,0.0348078786149579,0.0102317022069794,3.7663596834073e-10,0.638886284224377
"19127FL-02-69_S78_L007",0.0173022078458457,0.0670624511202245,0.133875393031946,0.0344299723803652,0.0501677527318967,0.00455162581278633,4.28449065920206e-10,0.692610596648486
"19127FL-02-79_S67_L006",0.00513668577397623,0.0421829137559052,0.111561617197108,0.0349456698608076,0.0293940237760244,0.0129008622592583,2.33324213029329e-09,0.763878225043678
