"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"19127FL-02-02_S55_L006",0.0127087803710646,0.0804196992058593,0.141979025647994,0.0365931214958822,0.0454939739299199,0.0163692721607881,1.25349392389679e-09,0.666436125934998
"19127FL-02-67_S103_L008",0.00203774170747981,0.178753562490713,0.102942663885547,0.0183582878437003,0.067531870145012,0.0105863264889601,4.06023094461528e-09,0.619789543378356
"19127FL-02-78_S44_L004",0.00550460590678272,0.0269100401543021,0.0841611450008204,0.0422427327980515,0.0408608961197668,0.017689396761612,2.91336987077613e-10,0.782631182967327
"19127FL-02-56_S24_L002",0.00323276246994867,0.0505406297033402,0.145298753083171,0.0124625064144643,0.0334677919357361,0.0775112979164467,1.41648484111841e-09,0.677486257060409
"19127FL-02-57_S78_L007",0.0354730992241777,0.0382045816009862,0.148861177640003,0.0872145446566089,0.024298590446566,0.0886990260749493,6.9899874822818e-10,0.57724897965771
"19127FL-02-82_S55_L005",0.00332127706138749,0.112690230918838,0.0866954882116733,0.0233722557932985,0.027206627762396,0.0262627021577638,1.57541173708939e-09,0.720451416519231
"19127FL-02-71_S66_L006",0.0065549826120582,0.0918251459088704,0.120251913328758,0.0404972302594676,0.0415951375369264,0.0713924963038922,4.26250501873094e-09,0.627883089787522
"19127FL-02-54_S69_L006",0.00837946497948943,0.0559230833151692,0.132226802353037,0.0425887370811393,0.0782347505640532,0.0236160279850895,1.96395131389544e-09,0.659031131758071
"19127FL-02-52_S22_L002",0.0106844285614997,0.0231595918705395,0.144951992903236,0.0482549452806837,0.0215043733709838,0.0317401690311092,6.3085562432721e-10,0.719704498351092
"19127FL-02-55_S88_L008",0.00132164261308837,0.281074691406977,0.156907163799862,1.09202839272783e-05,0.0232609899821073,0.0160533358266864,3.10198990647152e-09,0.521371252985362
"19127FL-02-01_S70_L007",0.00994479819935267,0.118128747596099,0.148406805144734,0.0176313017316587,0.0357277633378658,0.0476112067869868,1.05215286871371e-10,0.622549377098087
"19127FL-02-46_S21_L002",0.00857169060572504,0.0305372187475413,0.130245764411785,0.0389073034968398,0.0525523043778185,0.0142165252983834,5.22997578253794e-10,0.724969192538909
"19127FL-02-13_S73_L007",0.00919799709834692,0.122699077644205,0.0952088476113888,0.0286292314636656,0.0347272213141624,0.0201769637386679,9.80423588795649e-10,0.689360660149139
"19127FL-02-86_S80_L007",0.00920848792273975,0.0744203379733667,0.124370218209439,0.0298913575372029,0.0306351991334059,0.0199961175349215,2.62844995818437e-08,0.711478255404424
"19127FL-02-73_S104_L008",0.00556795889211196,0.0132984585558772,0.110342517282982,0.0288717410143744,0.0367457147473207,0.0102053173076021,2.8749812256947e-10,0.794968291912233
"19127FL-02-38_S75_L007",0.022817496654801,0.0500165490725566,0.102444302481755,0.0452508742637616,0.042822311784473,0.0428973572711257,3.97374578457308e-09,0.693751104497781
"19127FL-02-44_S77_L007",0.0142746649310774,0.147281754967077,0.140926032014141,0.0501961828710639,0.0563676146562333,0.0212437483227573,2.00137738871808e-09,0.569710000236273
"19127FL-02-66_S102_L008",0.00194594106648883,0.0456893102245696,0.108298836202867,0.027468938701242,0.0319766695576459,0.007700915318055,2.76320972158971e-08,0.776919361297035
"19127FL-02-10_S57_L006",0.0198962420338455,0.0199483910790706,0.132834632637465,0.0503040375941692,0.0416861541771006,0.0272328459451341,2.64954847048963e-10,0.70809769626826
"19127FL-02-08_S71_L007",0.0102419712148167,0.0551877477777833,0.0830746064377053,0.0256402900321147,0.0551279026494312,0.0176066895845185,3.29070428294214e-11,0.753120792270723
"19127FL-02-49_S87_L008",0.00631590662977161,0.0384613924723676,0.0845656333828981,0.0347994522095579,0.028453181826675,0.0157463166399502,1.41735333802547e-09,0.791658115421426
"19127FL-02-37_S66_L006",0.0121528870445389,0.150330091796643,0.102067358962381,0.0568377695802012,0.036957977223844,0.0324347264761277,6.07611475100835e-09,0.609219182840149
"19127FL-02-24_S84_L008",4.80773598950642e-08,0.0548513524957137,0.19477038704017,4.22258316864052e-09,0.0228832328819325,0.0469716555142544,1.59955621545197e-05,0.680507324205831
"19127FL-02-48_S86_L008",0.00890379352595131,0.0609236296649572,0.155288297129931,0.0446573432210368,0.0599324295837876,0.0298048711842897,7.44335700620272e-10,0.640489634945711
"19127FL-02-22_S641_L008",0.00539781041046077,0.152142837469849,0.115787011214058,0.0334730421227813,0.0339839113000756,0.0354527310980597,4.04124602559808e-10,0.623762655980591
"19127FL-02-69_S78_L007",0.0172053567900341,0.0664213759980876,0.131004480404498,0.0336916332410291,0.0496881803680373,0.0159993005415288,4.66364343308822e-10,0.685989672190421
"19127FL-02-79_S67_L006",0.00500145345938406,0.0409087391799714,0.106893492120993,0.0334834218056304,0.0285061496477333,0.0444021763422885,2.4867780291408e-09,0.740804564957221
"19127FL-02-87_S81_L007",0.0105463240040478,0.173490048399638,0.174841425141566,0.0280187484922199,0.0489924931545399,0.0260837343827265,1.20870796329062e-10,0.538027226304391
"19127FL-02-21_S18_L002",0.0288981322130378,0.040653721766078,0.13603855566803,0.0552230804563185,0.0554118181875472,0.0389455970241813,3.76228474375302e-10,0.644829094308578
"19127FL-02-06_S14_L002",0.00786325714235545,0.178001414146056,0.107716147722783,0.0188706344490731,0.0524762309534987,0.0225985678053031,1.39473170530603e-09,0.612473746386199
"19127FL-02-50_S68_L006",0.00150024935340406,0.0583978877230159,0.0401261644153537,0.0419695999640533,0.0631897437831538,0.0202624837535542,3.00540998100213e-09,0.774553868002055
"19127FL-02-77_S43_L004",0.0317259738168756,0.170425173883319,0.162497269712374,0.0754292702826673,0.0657638283422508,0.0540725315516177,3.66557869437831e-08,0.440085915755109
"19127FL-02-18_S17_L002",0.0314804224271351,0.328439122942797,0.123879368357585,0.0169408580665051,0.0408191487186175,0.0627093751310344,2.21838311211974e-08,0.395731682172495
"19127FL-02-90_S69_L006",0.00228175758383397,0.034125480267165,0.0739400487503571,0.0722740239827923,0.0332311610246742,0.011142545470925,1.89717189950343e-07,0.773004793203062
"19127FL-02-68_S39_L004",0.0171003945429477,0.319718861979597,0.119809421094179,0.0338610202562219,0.0528847440548645,0.0319928273227648,1.00528957513774e-10,0.424632730648897
"19127FL-02-51_S647_L008",0.00616617115851264,0.0572516905157771,0.14257324970333,0.0387755778043375,0.0279950819595318,0.0053016077439587,5.03678315043511e-09,0.721936616077769
"19127FL-02-28_S59_L006",0.0061403783938305,0.227923654317936,0.105927190145121,0.0181598151536116,0.0337958417721285,0.0261567233933786,1.32761674444862e-09,0.581896395496377
"19127FL-02-36_S65_L006",0.0143454827726083,0.0375989645194113,0.091516215023244,0.0258563939468498,0.0475527406270775,0.0113879130391006,5.99508961451017e-10,0.771742289472199
"19127FL-02-03_S638_L008",0.00113274713145148,0.0381519588493414,0.0678794352371758,0.0216888936863993,0.0197699397186349,0.019755505693122,1.73716264643636e-12,0.831621519682138
"19127FL-02-17_S640_L008",0.0260372557385971,0.0191985645007355,0.133873468863049,0.0397867900076343,0.064069514843104,0.0288641387072977,1.25611878671638e-09,0.688170266083464
"19127FL-02-25_S74_L007",0.0841601227518897,0.283191015155651,0.26065549532974,0.062541139688657,0.0411187680775907,0.0492822627108842,1.88558824321054e-07,0.219051007726764
"19127FL-02-27_S643_L008",0.0278175605161108,0.1283749559725,0.118827533444807,0.0546426178421809,0.0513920929824597,0.0484182706379046,3.78563324189862e-10,0.570526968225474
"19127FL-02-30_S60_L006",0.00176174458320294,0.102133034512159,0.0724576756783678,0.0272958319659316,0.0302706800851889,0.0127431370061507,2.14729682344987e-07,0.753337681439316
"19127FL-02-39_S85_L008",0.00423332615998297,0.143428684888985,0.080645586027736,0.0235891364560176,0.0315807243940754,0.0138575841044728,6.18046566751443e-09,0.702664951788265
"19127FL-02-31_S61_L006",0.00904395795821759,0.0241398738016777,0.101389961688732,0.0327131760741529,0.0296966393284148,0.0102398183658638,1.88400024104405e-10,0.792776572594542
"19127FL-02-09_S72_L007",0.00339455568056219,0.0187242229819258,0.105828331950042,0.0262190914304577,0.044315661507894,0.00856582345586378,1.41084064556192e-10,0.79295231285217
"19127FL-02-76_S42_L004",0.000113108650055584,0.0474191454174558,5.82615808750085e-09,0.169204169606411,0.0703852939906377,0.013241728940493,9.71282136540585e-12,0.699636547559076
"19127FL-02-43_S645_L008",0.018232818252206,0.108070921477451,0.172015827452008,0.0329249905574028,0.0577782577343108,0.0298691605448358,2.39046345381925e-09,0.581108021591322
"19127FL-02-34_S20_L002",0.00986685838355101,0.320468834444104,0.159285900545541,0.00989636836594992,0.0598984699549392,0.0508564931409376,1.38833672489118e-09,0.389727073776641
"19127FL-02-16_S16_L002",0.00794206075177645,0.115970252061492,0.162145496388109,0.0332712307548425,0.0541431710564192,0.020282470232778,5.14164948137115e-09,0.606245313612934
"19127FL-02-41_S76_L007",0.00534541021668848,0.0357613463422357,0.175344743386711,0.0313247421176222,0.0471168199555891,0.00549622600517483,4.71614433103873e-08,0.699610664814535
"19127FL-02-19_S58_L006",0.00459559321741274,0.0412128312294644,0.122132955004628,0.0307821257770198,0.0524807357330822,0.0147727698309746,4.83377310095688e-09,0.734022984373645
